AAPL,AMZN,GOOGL,JPM,KO,META,MSFT,NVDA
175.29034423828125,173.31500244140625,145.24058532714844,140.83868408203125,51.174713134765625,338.9996643066406,323.06427001953125,30.398466110229492
168.4077606201172,168.87100219726562,143.26095581054688,143.04124450683594,51.69475173950195,332.2923583984375,313.65179443359375,28.33058738708496
167.3127899169922,170.0175018310547,140.56324768066406,139.78646850585938,50.88385009765625,331.19097900390625,312.58984375,27.745752334594727
165.95388793945312,167.07899475097656,140.44619750976562,137.2718048095703,50.71638488769531,322.9159240722656,308.83453369140625,27.663911819458008
169.1214599609375,170.41700744628906,142.29641723632812,139.18902587890625,50.91910934448242,331.5977783203125,315.95904541015625,29.01721954345703
171.71217346191406,171.03700256347656,145.21481323242188,139.7329864501953,51.280487060546875,327.876953125,321.6644592285156,29.341571807861328
172.33786010742188,171.06849670410156,145.71221923828125,140.2323455810547,51.31574249267578,332.62969970703125,323.10284423828125,29.581100463867188
176.29730224609375,169.66949462890625,146.69407653808594,141.03488159179688,51.69475173950195,343.4844665527344,330.5942687988281,30.883501052856445
175.28053283691406,170.66099548339844,145.48455810546875,141.46290588378906,51.8974723815918,343.5242004394531,329.43572998046875,30.261741638183594
175.36854553222656,169.2010040283203,145.45285034179688,141.39154052734375,51.95917510986328,340.2697448730469,330.111572265625,29.941373825073242
174.21493530273438,168.64450073242188,145.00205993652344,141.32022094726562,51.809326171875,341.6786804199219,327.57257080078125,29.52720069885254
173.59901428222656,166.7169952392578,143.66464233398438,141.20433044433594,52.18833923339844,333.7310485839844,324.67645263671875,29.35255241394043
177.93972778320312,170.4044952392578,143.80294799804688,144.1915740966797,52.267662048339844,335.9039611816406,323.1607971191406,30.061141967773438
175.68141174316406,167.52200317382812,143.21585083007812,149.6578369140625,53.14026641845703,333.90966796875,317.61944580078125,29.231788635253906
171.00828552246094,164.35699462890625,136.64559936523438,146.92176818847656,53.580970764160156,321.6458435058594,305.4267883300781,27.549144744873047
168.15359497070312,163.25399780273438,136.61834716796875,148.482666015625,53.298919677734375,329.8713073730469,303.0133361816406,28.121997833251953
168.3197479248047,162.5540008544922,135.89382934570312,149.95387268066406,53.1755256652832,329.20660400390625,303.16778564453125,27.19285011291504
