method,n,k,p,mean_P_optimal,std_P_optimal,mean_P_feasible,mean_P_near_optimal_5pct,mean_normalized_gap,num_instances
QWOA weighted Johnson cost alpha=0.5,7,4,2,0.3070229266856514,0.07123857182724656,1.0,0.5651463278599684,0.07440080170192874,4
QWOA weighted Johnson cost alpha=0.25,7,4,2,0.3032088018634934,0.06510151389591534,1.0,0.5602253172896666,0.07340891850495486,4
QWOA weighted Johnson cost alpha=1.0,7,4,2,0.27755617879297184,0.09290548522081679,1.0,0.520858114583048,0.08929656225945984,4
QWOA weighted Johnson cost alpha=2.0,7,4,2,0.24476301623127353,0.05465167911414375,1.0,0.5034703831150515,0.12454702622359641,4
QWOA weighted Johnson cost alpha=2.0,7,3,2,0.2161170171550412,0.12098929179814784,1.0,0.291691219697674,0.20425518497569428,4
QWOA complete / Grover-equivalent,7,3,2,0.17672011465869836,0.03215403430832601,1.0,0.24559798837817665,0.17866810706785502,4
QWOA complete / Grover-equivalent,7,4,2,0.16018910016352603,0.03903636880741458,1.0,0.3113330532425534,0.15956592331981184,4
QWOA weighted Johnson cost alpha=0.25,7,3,3,0.4460658228363932,0.1838567059891788,1.0,0.5446866005893304,0.07184110076243462,4
QWOA Johnson,7,3,3,0.43540170031724357,0.15781640845893938,1.0,0.53255587990464,0.0765991919304211,4
QWOA weighted Johnson cost alpha=0.5,7,3,3,0.42484881454187357,0.1657373383944812,1.0,0.5230647430952415,0.08568197212499672,4
QWOA weighted Johnson cost alpha=1.0,7,3,3,0.38541307596262925,0.13999821002622884,1.0,0.4942387764159868,0.08898457644851165,4
QWOA weighted Johnson cost alpha=0.5,7,4,3,0.3659361900069811,0.12837467034273908,1.0,0.6420503734321714,0.06368088449229274,4
QWOA weighted Johnson cost alpha=0.25,7,4,3,0.34426592648958354,0.10986749547082016,1.0,0.6185852761597099,0.0675504976761732,4
QWOA weighted Johnson cost alpha=1.0,7,4,3,0.34413391661927745,0.10718847038799181,1.0,0.6243037680586605,0.07830709019712744,4
QWOA Johnson,7,4,3,0.3184307121234055,0.07892076342224547,1.0,0.5726585729385824,0.07362396856023565,4
QWOA weighted Johnson cost alpha=2.0,7,4,3,0.3112445946251131,0.08086382182621617,1.0,0.5907269474951963,0.09969088394488439,4
